,model,early_stop,unfairness_reg,lr,val_score,abs_score,over_score,under_score,non_parity_score,,test
non_parity_score,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.00010904669761657715,4.050135612487793e-05,0.0002510547637939453,0.00012135505676269531,1.0102987289428711e-05,5.125999450683594e-05,P
rmse,nmf,9.240638334611659e-07,0.6920769525718871,0.013877600022628,0.45515021681785583,0.4617474675178528,0.4719391167163849,0.46020767092704773,0.40594813227653503,0.4003133475780487,P
val_score,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,0.05890703946352005,0.057808469980955124,0.055740177631378174,0.05600397661328316,0.05680009350180626,0.058889612555503845,OP
abs_score,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,0.058706726878881454,0.057808469980955124,0.049913015216588974,0.05600397661328316,0.05680009350180626,0.05501314252614975,OP
over_score,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,0.00015053629875183105,0.0,0.03521553188562393,0.0,0.0,0.05421290119489034,OP
under_score,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,0.05875650217135747,0.057808463275432584,0.02052464962005615,0.05600397249062856,0.05680009623368581,0.004676709373792012,OP
non_parity_score,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,3.6835670471191406e-05,4.522502422332764e-06,2.7477741241455078e-05,3.1717121601104736e-05,2.60770320892334e-05,1.2874603271484375e-05,OP
rmse,nmf,7.14749727389023e-06,0.3790398521577746,0.11808828200425284,0.39722391963005066,0.6196384429931641,0.3912960886955261,0.6595733761787415,0.4801871180534363,0.4034247398376465,OP
val_score,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.13518905639648438,0.13741208612918854,0.14113083481788635,0.13813664019107819,0.13797114789485931,0.14166474342346191,U
abs_score,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.11511432379484177,0.12299489229917526,0.11963356286287308,0.12171919643878937,0.10290856659412384,0.10017892718315125,U
over_score,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.012808595299720765,0.014758472939332327,0.020069841841856638,0.008814192314942678,0.04212474207083384,0.054504265089829765,U
under_score,gmf,5.848349432384602e-07,0.4210395964550404,0.29620887882692903,0.12238046462337177,0.12265361328919729,0.1210609953602155,0.12932245602210363,0.09584638590614002,0.087160482108593,U
